domain,scripts,Prediction
www.maryruthorganics.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DdFyoXiZ.js,2
www.maryruthorganics.com,https://cdn.shopify.com/b7fdaa0bcwe71e28a7pb318d81am8a004b42m.js,
www.mypetchicken.com,https://cdn.shopify.com/b7fdaa0bcwe71e28a7pb318d81am8a004b42m.js,
www.mypetchicken.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DdFyoXiZ.js,2
www.honeyflow.com,https://cdn.shopify.com/b7fdaa0bcwe71e28a7pb318d81am8a004b42m.js,
www.honeyflow.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DdFyoXiZ.js,2
pureromance.com,https://cdn.shopify.com/b7fdaa0bcwe71e28a7pb318d81am8a004b42m.js,
www.stilacosmetics.com,https://cdn.shopify.com/be6387955w1e097182p885e99f9m4df35400m.js,
www.stilacosmetics.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.swaY1cRw.js,2
fromourplace.com,https://cdn.shopify.com/be6387955w1e097182p885e99f9m4df35400m.js,
fromourplace.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.swaY1cRw.js,2
giadzy.com,https://giadzy.com/cdn/wpm/be6387955w1e097182p885e99f9m4df35400m.js,0
checkout.baggu.com,https://cdn.shopify.com/be6387955w1e097182p885e99f9m4df35400m.js,
checkout.baggu.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.swaY1cRw.js,2
www.selfieleslie.com,https://cdn.shopify.com/be6387955w1e097182p885e99f9m4df35400m.js,
www.selfieleslie.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.swaY1cRw.js,2
oliveandjune.com,https://cdn.shopify.com/be6387955w1e097182p885e99f9m4df35400m.js,
oliveandjune.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.swaY1cRw.js,2
www.viktor-rolf.com,https://cdn.shopify.com/be6387955w1e097182p885e99f9m4df35400m.js,
www.viktor-rolf.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.swaY1cRw.js,2
www.iheartraves.com,https://cdn.shopify.com/be6387955w1e097182p885e99f9m4df35400m.js,
www.iheartraves.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.swaY1cRw.js,2
